day; number of plants; number of animals; number of free fields; the most popular genotype; average energy; average life length of deads
1; 12; 14; 199; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 34.5; 0.0
2; 12; 15; 200; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 32.67; 0.0
3; 13; 16; 199; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 30.56; 0.0
4; 15; 17; 196; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 28.24; 0.0
5; 18; 17; 191; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 27.24; 0.0
6; 20; 18; 190; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 25.17; 0.0
7; 21; 20; 191; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 22.45; 0.0
8; 23; 20; 185; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.8; 0.0
9; 23; 20; 185; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.85; 0.0
10; 25; 20; 183; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.2; 0.0
11; 28; 20; 179; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.2; 0.0
12; 31; 18; 177; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.33; 12.0
13; 31; 19; 179; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.37; 12.0
14; 30; 19; 177; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.84; 12.0
15; 30; 19; 177; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.95; 12.0
16; 30; 19; 179; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.05; 12.0
17; 31; 19; 177; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.79; 12.0
18; 29; 20; 181; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.55; 12.0
19; 30; 20; 177; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.25; 12.0
20; 28; 20; 178; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.0; 12.0
21; 31; 19; 176; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.05; 15.0
22; 30; 19; 177; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.53; 15.0
23; 32; 19; 177; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.89; 15.0
24; 33; 19; 174; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.63; 15.0
25; 34; 18; 176; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 21.5; 17.5
26; 37; 18; 172; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 20.5; 17.5
27; 38; 15; 175; [5, 5, 5, 7, 4, 5, 4, 3, 4, 5, 7, 2]; 24.33; 21.57
